Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,18,0,6,0,0
2,29,0,8,0,0
3,40,0,9,0,0
4,50,0,11,0,0
5,65,0,13,0,0
6,102,0,15,1,0
7,127,0,14,3,0
8,142,0,20,3,0
9,171,0,20,3,0
10,200,0,23,4,0
11,220,0,24,6,0
12,216,0,26,9,0
13,235,0,24,14,0
14,248,0,28,16,0
15,260,0,29,17,0
16,286,0,33,19,0
17,299,0,32,23,0
18,329,0,40,26,0
19,326,0,40,30,0
20,332,0,49,33,0
21,340,0,43,42,0
22,370,0,44,47,0
23,368,0,50,47,0
24,371,0,52,47,0
25,366,0,55,45,0
26,360,0,52,48,0
27,359,0,50,48,0
28,364,0,51,46,0
29,347,0,66,50,0
30,331,0,65,56,0
31,299,0,93,60,0
32,289,0,86,67,0
33,311,0,77,73,0
34,321,0,72,76,0
35,322,0,63,81,0
36,322,0,63,86,0
37,316,0,63,80,0
38,321,0,57,82,0
39,318,0,58,84,0
40,326,0,54,83,0
41,339,0,58,84,0
42,327,0,57,86,0
43,332,0,48,93,0
44,333,0,48,92,0
45,356,0,43,91,0
46,350,0,44,91,0
47,344,0,42,87,0
48,353,0,45,87,0
49,335,0,52,88,0
50,349,0,46,85,0
51,339,0,44,81,0
52,345,0,36,77,0
53,340,0,35,68,0
54,340,0,34,62,0
55,334,0,45,64,0
56,311,0,50,62,0
57,306,0,42,67,0
58,306,0,38,64,0
59,313,0,30,68,0
60,308,0,28,67,0
61,323,0,22,66,0
62,307,0,17,63,0
63,339,0,13,60,0
64,322,0,18,61,0
65,335,0,22,58,0
66,338,0,21,55,0
67,333,0,20,56,0
68,326,0,19,54,0
69,333,0,17,50,0
70,334,0,15,47,0
71,341,0,13,48,0
72,342,0,10,43,0
73,337,0,9,40,0
74,344,0,8,36,0
75,350,0,7,37,0
76,337,0,8,34,0
77,339,0,6,33,0
78,352,0,8,32,0
79,364,0,7,30,0
80,358,0,6,31,0
81,354,0,7,31,0
82,358,0,7,30,0
83,367,0,5,32,0
84,365,0,6,30,0
85,374,0,6,27,0
86,373,0,7,27,0
87,351,0,7,27,0
88,359,0,6,28,0
89,364,0,7,28,0
90,378,0,5,29,0
91,363,0,4,30,0
92,359,0,4,30,0
93,380,0,5,29,0
94,389,0,5,28,0
95,402,0,4,29,0
96,409,0,4,29,0
97,408,0,5,30,0
98,407,0,3,30,0
99,412,0,1,31,0
100,429,0,1,31,0
