Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,20,0,4,0,0
2,34,0,4,0,0
3,39,0,4,0,0
4,48,0,4,0,0
5,56,0,4,0,0
6,74,0,3,1,0
7,105,0,3,1,0
8,129,0,3,1,0
9,151,0,3,1,0
10,168,0,3,1,0
11,176,0,3,1,0
12,183,0,3,1,0
13,193,0,2,2,0
14,227,2,2,2,0
15,237,2,2,2,0
16,247,1,3,2,0
17,268,1,2,4,0
18,286,0,3,5,0
19,300,0,3,5,0
20,327,1,2,5,0
21,356,1,2,5,0
22,365,2,2,5,0
23,367,2,3,5,0
24,375,1,4,5,0
25,382,2,1,8,0
26,376,2,1,8,0
27,360,0,2,7,0
28,358,1,2,7,0
29,360,0,3,7,0
30,370,0,3,7,0
31,363,0,3,7,0
32,380,0,2,8,0
33,391,0,2,8,0
34,394,0,2,8,0
35,402,0,2,7,0
36,406,0,3,5,0
37,418,0,3,5,0
38,423,1,2,6,0
39,409,1,2,5,0
40,409,1,2,5,0
41,398,1,2,5,0
42,383,0,2,6,0
43,382,2,2,6,0
44,404,3,2,6,0
45,393,2,3,5,0
46,400,1,4,5,0
47,395,1,5,5,0
48,407,0,5,6,0
49,419,0,5,6,0
50,424,1,3,8,0
51,423,2,2,9,0
52,424,1,3,9,0
53,428,2,1,9,0
54,436,4,1,9,0
55,438,4,1,9,0
56,439,3,1,8,0
57,449,4,1,8,0
58,449,3,1,7,0
59,453,2,2,7,0
60,451,2,1,7,0
61,471,2,1,7,0
62,486,1,2,6,0
63,500,3,2,6,0
64,505,2,5,6,0
65,496,1,6,6,0
66,497,1,4,7,0
67,505,1,3,7,0
68,497,0,4,7,0
69,492,0,2,7,0
70,485,1,2,7,0
71,486,1,3,7,0
72,479,0,2,8,0
73,487,0,2,8,0
74,491,1,1,8,0
75,490,1,1,8,0
76,479,1,2,8,0
77,473,0,2,7,0
78,476,0,2,7,0
79,496,0,2,7,0
80,476,0,2,7,0
81,484,0,2,7,0
82,477,2,2,6,0
83,455,2,2,6,0
84,459,2,3,6,0
85,455,3,2,7,0
86,445,5,2,7,0
87,445,4,2,8,0
88,484,2,4,8,0
89,487,1,5,8,0
90,505,1,4,8,0
91,498,1,4,8,0
92,497,3,3,9,0
93,498,4,4,9,0
94,503,4,5,9,0
95,508,2,6,9,0
96,521,2,5,9,0
97,528,3,5,9,0
98,523,2,7,8,0
99,507,2,7,9,0
100,529,2,7,9,0
