Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,18,0,6,0,0
2,29,0,8,0,0
3,45,0,10,0,0
4,57,0,13,0,0
5,71,0,16,0,0
6,89,0,19,1,0
7,94,0,18,4,0
8,106,0,20,5,0
9,130,0,22,6,0
10,137,0,24,9,0
11,157,0,22,11,0
12,177,0,29,12,0
13,204,0,30,14,0
14,217,0,34,17,0
15,216,0,42,22,0
16,226,0,49,26,0
17,226,0,58,27,0
18,229,0,68,34,0
19,228,0,69,44,0
20,226,0,78,54,0
21,226,0,81,63,0
22,221,0,82,73,0
23,224,0,91,78,0
24,210,0,103,82,0
25,205,0,100,86,0
26,191,0,112,92,0
27,192,0,121,97,0
28,179,0,136,103,0
29,177,0,148,107,0
30,171,0,160,108,0
31,156,0,170,113,0
32,139,0,163,125,0
33,131,0,163,130,0
34,107,0,163,139,0
35,86,0,171,144,0
36,76,0,171,149,0
37,57,0,175,160,0
38,47,0,173,173,0
39,46,0,164,179,0
40,53,0,156,195,0
41,47,0,144,207,0
42,51,0,149,215,0
43,41,0,158,214,0
44,39,0,149,217,0
45,44,0,140,217,0
46,35,0,136,216,0
47,33,0,152,204,0
48,32,0,151,211,0
49,32,0,152,209,0
50,41,0,154,219,0
51,51,0,152,220,0
52,52,0,180,222,0
53,37,0,192,220,0
54,36,0,199,225,0
55,24,0,199,225,0
56,26,0,200,224,0
57,35,0,195,235,0
58,26,0,209,244,0
59,23,0,221,241,0
60,16,0,232,246,0
61,17,0,230,266,0
62,22,0,221,264,0
63,15,0,218,278,0
64,23,0,217,288,0
65,20,0,223,295,0
66,17,0,222,303,0
67,24,0,217,306,0
68,13,0,207,308,0
69,18,0,200,303,0
70,14,0,189,294,0
71,16,0,179,289,0
72,26,0,170,288,0
73,20,0,179,291,0
74,25,0,173,285,0
75,23,0,162,288,0
76,18,0,153,283,0
77,22,0,153,282,0
78,22,0,135,283,0
79,16,0,140,273,0
80,20,0,135,265,0
81,19,0,129,252,0
82,34,0,119,249,0
83,53,0,119,237,0
84,51,0,130,232,0
85,40,0,133,224,0
86,41,0,138,211,0
87,43,0,132,211,0
88,51,0,138,206,0
89,62,0,138,201,0
90,77,0,136,205,0
91,74,0,155,209,0
92,67,0,152,216,0
93,68,0,153,214,0
94,71,0,154,215,0
95,72,0,160,219,0
96,61,0,161,217,0
97,67,0,175,220,0
98,64,0,170,225,0
99,68,0,166,225,0
100,96,0,166,225,0
