Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,20,0,3,1,0
2,36,0,4,1,0
3,60,0,4,2,0
4,76,0,3,3,0
5,88,0,3,4,0
6,110,0,2,5,0
7,115,0,3,5,0
8,115,0,4,5,0
9,123,0,4,5,0
10,141,0,6,6,0
11,155,0,7,7,0
12,156,0,7,9,0
13,162,0,12,9,0
14,164,0,14,13,0
15,180,0,16,16,0
16,188,0,20,17,0
17,203,0,27,17,0
18,211,0,35,21,0
19,231,0,35,27,0
20,228,0,51,30,0
21,226,0,53,38,0
22,231,0,66,42,0
23,242,0,70,43,0
24,234,0,74,48,0
25,222,0,81,54,0
26,207,0,77,62,0
27,209,0,95,63,0
28,191,0,104,76,0
29,179,0,116,89,0
30,179,0,116,97,0
31,161,0,126,110,0
32,160,0,139,114,0
33,146,0,147,119,0
34,144,0,163,122,0
35,137,0,164,136,0
36,135,0,163,147,0
37,122,0,155,158,0
38,114,0,167,165,0
39,101,0,169,169,0
40,90,0,162,185,0
41,85,0,152,196,0
42,67,0,152,197,0
43,63,0,145,202,0
44,50,0,155,198,0
45,49,0,157,207,0
46,47,0,161,220,0
47,33,0,155,212,0
48,31,0,147,213,0
49,42,0,143,211,0
50,49,0,157,207,0
51,49,0,163,208,0
52,38,0,160,213,0
53,34,0,168,210,0
54,40,0,161,210,0
55,34,0,165,206,0
56,35,0,160,209,0
57,36,0,153,214,0
58,30,0,153,214,0
59,32,0,158,211,0
60,42,0,163,212,0
61,31,0,171,215,0
62,23,0,168,221,0
63,34,0,175,215,0
64,30,0,179,215,0
65,34,0,179,222,0
66,36,0,189,219,0
67,39,0,187,215,0
68,32,0,185,213,0
69,29,0,176,223,0
70,40,0,172,231,0
71,39,0,174,226,0
72,29,0,154,234,0
73,31,0,146,235,0
74,20,0,135,233,0
75,18,0,120,234,0
76,37,0,119,232,0
77,30,0,117,231,0
78,26,0,116,221,0
79,37,0,121,215,0
80,39,0,119,211,0
81,55,0,116,200,0
82,62,0,119,201,0
83,55,0,119,200,0
84,61,0,121,196,0
85,47,0,126,190,0
86,52,0,135,180,0
87,54,0,132,175,0
88,86,0,136,177,0
89,73,0,149,172,0
90,85,0,159,171,0
91,91,0,167,174,0
92,93,0,180,167,0
93,100,0,192,172,0
94,80,0,197,178,0
95,82,0,193,183,0
96,85,0,191,199,0
97,76,0,190,207,0
98,92,0,182,223,0
99,88,0,181,233,0
100,108,0,181,233,0
