Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,20,0,4,0,0
2,33,1,4,0,0
3,52,1,4,0,0
4,99,1,4,0,0
5,122,2,4,0,0
6,143,1,5,0,0
7,154,3,5,0,0
8,160,5,5,0,0
9,169,4,6,1,0
10,203,3,6,3,0
11,210,4,6,3,0
12,237,4,6,5,0
13,243,3,8,5,0
14,269,2,8,6,0
15,273,1,8,7,0
16,301,1,8,7,0
17,329,2,7,8,0
18,353,2,7,8,0
19,366,2,7,8,0
20,385,4,6,9,0
21,402,3,6,10,0
22,420,3,3,13,0
23,416,3,1,13,0
24,435,2,1,13,0
25,409,2,2,13,0
26,410,2,2,12,0
27,428,3,2,11,0
28,432,5,2,10,0
29,435,4,3,10,0
30,423,2,5,9,0
31,438,2,4,9,0
32,436,2,2,9,0
33,437,1,3,8,0
34,422,0,3,9,0
35,440,1,2,9,0
36,433,1,2,9,0
37,420,0,4,8,0
38,429,3,4,8,0
39,434,2,6,8,0
40,442,3,7,8,0
41,445,3,6,10,0
42,463,1,8,9,0
43,468,1,6,10,0
44,488,0,5,12,0
45,491,1,5,12,0
46,508,1,4,12,0
47,511,2,4,12,0
48,514,2,4,11,0
49,511,3,3,12,0
50,506,2,4,12,0
51,513,3,3,13,0
52,517,0,6,13,0
53,516,0,7,12,0
54,519,1,6,12,0
55,530,1,6,12,0
56,528,1,6,11,0
57,517,1,5,12,0
58,521,3,5,12,0
59,526,3,6,12,0
60,517,3,3,14,0
61,510,3,2,14,0
62,486,3,1,15,0
63,481,3,1,14,0
64,466,3,2,14,0
65,454,3,4,12,0
66,415,3,4,12,0
67,419,3,3,12,0
68,407,3,4,12,0
69,401,4,5,12,0
70,373,5,5,12,0
71,365,3,7,12,0
72,343,3,7,12,0
73,356,2,7,11,0
74,357,2,6,12,0
75,341,2,5,13,0
76,347,4,5,13,0
77,342,1,8,13,0
78,337,3,7,13,0
79,345,2,7,13,0
80,334,1,8,13,0
81,370,1,7,13,0
82,371,1,6,14,0
83,375,1,7,14,0
84,367,1,5,14,0
85,376,1,5,13,0
86,375,1,6,12,0
87,375,1,6,12,0
88,381,1,6,12,0
89,380,1,4,13,0
90,386,1,4,13,0
91,380,4,2,14,0
92,394,0,6,14,0
93,425,1,6,13,0
94,437,1,5,13,0
95,422,1,4,14,0
96,409,1,4,14,0
97,423,1,4,14,0
98,438,0,5,14,0
99,418,2,2,16,0
100,432,2,2,16,0
