Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,19,0,5,0,0
2,26,2,6,0,0
3,35,5,6,0,0
4,54,4,7,0,0
5,71,6,9,0,0
6,98,4,12,0,0
7,120,4,14,0,0
8,140,5,13,2,0
9,150,8,12,4,0
10,179,9,13,6,0
11,189,5,16,7,0
12,202,5,14,10,0
13,239,8,14,11,0
14,266,4,18,11,0
15,282,2,19,13,0
16,302,4,18,14,0
17,317,8,17,16,0
18,347,9,17,17,0
19,360,8,19,18,0
20,391,9,17,22,0
21,397,11,18,22,0
22,414,7,25,22,0
23,420,10,24,23,0
24,412,27,22,26,0
25,411,24,26,26,0
26,415,21,32,26,0
27,404,26,31,29,0
28,385,21,41,28,0
29,378,17,45,27,0
30,364,17,45,26,0
31,364,27,44,27,0
32,355,46,47,26,0
33,342,58,57,32,0
34,309,72,72,35,0
35,309,61,90,39,0
36,290,58,96,47,0
37,259,54,116,54,0
38,259,47,116,63,0
39,259,46,108,70,0
40,271,44,110,74,0
41,264,55,113,78,0
42,244,61,119,82,0
43,235,49,123,95,0
44,241,46,120,107,0
45,233,51,126,112,0
46,239,56,129,122,0
47,208,81,135,132,0
48,205,72,143,140,0
49,208,54,149,145,0
50,217,38,151,152,0
51,220,30,140,162,0
52,224,27,136,162,0
53,214,47,135,167,0
54,186,58,141,167,0
55,173,72,147,174,0
56,148,64,154,173,0
57,139,61,151,178,0
58,145,49,150,181,0
59,144,42,147,185,0
60,140,47,144,188,0
61,139,57,141,190,0
62,133,52,139,188,0
63,129,53,134,183,0
64,140,44,121,189,0
65,136,34,122,187,0
66,147,44,112,182,0
67,155,46,106,178,0
68,177,40,99,178,0
69,182,34,100,172,0
70,186,26,102,163,0
71,188,20,94,163,0
72,183,35,95,158,0
73,181,41,96,155,0
74,161,48,94,151,0
75,170,42,94,143,0
76,183,29,104,129,0
77,183,25,100,127,0
78,206,17,93,127,0
79,230,20,78,128,0
80,243,18,76,126,0
81,262,19,67,126,0
82,270,21,60,125,0
83,280,20,55,127,0
84,293,20,51,118,0
85,291,27,46,111,0
86,286,27,43,105,0
87,305,28,44,96,0
88,316,26,41,92,0
89,331,30,36,87,0
90,334,21,39,81,0
91,352,16,41,81,0
92,352,19,42,78,0
93,334,37,51,73,0
94,330,40,55,69,0
95,329,50,65,71,0
96,345,42,71,74,0
97,333,34,70,75,0
98,333,23,60,88,0
99,331,19,59,87,0
100,348,19,59,87,0
