Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,17,3,4,0,0
2,26,3,4,2,0
3,39,4,5,2,0
4,66,3,6,3,0
5,75,4,6,3,0
6,115,2,7,4,0
7,137,4,5,6,0
8,154,3,6,7,0
9,183,4,7,7,0
10,193,5,8,7,0
11,211,6,8,8,0
12,225,7,10,8,0
13,230,4,13,9,0
14,263,6,14,10,0
15,282,11,16,11,0
16,291,9,22,11,0
17,303,9,23,12,0
18,327,10,23,14,0
19,334,8,24,17,0
20,341,7,28,18,0
21,365,11,29,21,0
22,378,19,30,23,0
23,379,16,38,24,0
24,381,21,35,25,0
25,372,23,33,27,0
26,380,20,34,30,0
27,359,17,33,32,0
28,356,13,32,37,0
29,339,15,37,36,0
30,325,16,33,39,0
31,329,15,38,39,0
32,319,34,39,42,0
33,315,28,47,41,0
34,318,21,51,45,0
35,333,11,50,51,0
36,331,13,46,56,0
37,338,15,43,59,0
38,351,18,41,62,0
39,362,30,37,65,0
40,360,21,43,67,0
41,364,17,46,64,0
42,356,12,51,60,0
43,352,15,53,56,0
44,337,18,47,58,0
45,322,20,45,58,0
46,328,37,47,57,0
47,306,43,45,59,0
48,306,39,51,63,0
49,316,34,54,68,0
50,333,27,61,70,0
51,344,25,61,70,0
52,357,21,57,79,0
53,369,19,55,81,0
54,355,16,53,79,0
55,333,15,48,76,0
56,335,9,43,77,0
57,339,7,38,77,0
58,334,7,34,78,0
59,319,17,30,78,0
60,318,19,34,72,0
61,304,29,35,68,0
62,308,21,40,65,0
63,326,18,42,63,0
64,335,10,44,63,0
65,348,7,44,63,0
66,361,9,44,65,0
67,349,10,40,62,0
68,335,13,33,59,0
69,336,17,34,57,0
70,324,15,33,52,0
71,308,11,32,54,0
72,318,10,28,55,0
73,304,10,23,58,0
74,321,9,22,54,0
75,341,6,20,54,0
76,342,5,18,51,0
77,336,4,15,52,0
78,355,4,14,51,0
79,361,3,13,51,0
80,362,3,13,53,0
81,355,7,13,48,0
82,344,6,13,42,0
83,350,6,12,41,0
84,361,4,11,36,0
85,353,4,11,36,0
86,338,1,11,38,0
87,350,1,8,36,0
88,352,1,6,33,0
89,357,1,7,31,0
90,372,8,5,31,0
91,368,9,5,29,0
92,398,5,8,30,0
93,393,5,6,32,0
94,411,4,7,32,0
95,403,4,6,30,0
96,400,5,7,28,0
97,383,14,8,26,0
98,376,11,9,27,0
99,368,10,9,28,0
100,388,10,9,28,0
