Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,20,0,4,0,0
2,37,0,4,0,0
3,58,0,3,1,0
4,85,0,3,1,0
5,92,0,3,1,0
6,94,0,4,1,0
7,108,0,3,2,0
8,110,0,3,2,0
9,138,0,3,2,0
10,154,0,3,2,0
11,181,0,3,2,0
12,206,0,3,2,0
13,218,0,2,3,0
14,246,0,2,3,0
15,264,0,1,4,0
16,294,0,1,4,0
17,308,0,1,4,0
18,335,0,1,4,0
19,355,0,3,4,0
20,366,0,2,5,0
21,367,0,2,5,0
22,369,0,2,5,0
23,373,0,2,5,0
24,403,0,2,4,0
25,405,0,2,4,0
26,411,0,2,4,0
27,423,0,2,4,0
28,438,0,2,4,0
29,427,0,2,4,0
30,420,0,2,4,0
31,432,0,1,5,0
32,437,0,2,5,0
33,418,0,1,6,0
34,415,0,1,6,0
35,436,0,1,6,0
36,419,0,0,7,0
37,406,0,2,7,0
38,393,0,2,7,0
39,394,0,2,6,0
40,397,0,3,6,0
41,400,0,3,6,0
42,391,0,4,6,0
43,408,0,4,6,0
44,415,0,4,6,0
45,409,0,4,5,0
46,406,0,4,6,0
47,390,0,4,5,0
48,383,0,5,5,0
49,390,0,5,5,0
50,394,0,6,6,0
51,408,0,6,6,0
52,409,0,5,7,0
53,422,0,6,7,0
54,412,0,6,8,0
55,430,0,5,8,0
56,421,0,7,7,0
57,418,0,7,7,0
58,430,0,6,8,0
59,435,0,5,10,0
60,454,0,3,12,0
61,441,0,2,13,0
62,445,0,2,12,0
63,445,0,1,13,0
64,449,0,2,13,0
65,465,0,2,12,0
66,463,0,2,11,0
67,454,0,2,11,0
68,448,0,2,11,0
69,445,0,2,12,0
70,444,0,3,12,0
71,448,0,3,12,0
72,456,0,3,11,0
73,458,0,3,11,0
74,454,0,3,10,0
75,432,0,2,11,0
76,419,0,2,11,0
77,425,0,2,10,0
78,448,0,2,9,0
79,439,0,3,10,0
80,431,0,2,10,0
81,424,0,2,9,0
82,428,0,3,9,0
83,416,0,4,9,0
84,413,0,3,9,0
85,407,0,3,9,0
86,411,0,4,9,0
87,403,0,3,10,0
88,396,0,4,10,0
89,404,0,4,10,0
90,415,0,4,10,0
91,444,0,3,10,0
92,455,0,3,10,0
93,443,0,3,10,0
94,455,0,3,10,0
95,462,0,3,10,0
96,453,0,2,10,0
97,464,0,2,10,0
98,478,0,2,9,0
99,473,0,3,9,0
100,484,0,3,9,0
